Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
Ar01,DCM,1.77,-4.36,8.93,0,92.14,-0.29582,0.02389,-0.223,-0.16,77.138,-0.5217,-0.2674,29.4,5.61,2.11,5.43,-191.12,-6.7,-55.29,-122.52,-0.135965,0.31971,-0.39455
Ar02,DCM,2.08,-3.57,8.93,0,106.17,-0.289,0.02499,-0.222,-0.391,54.6857,-0.5011,-0.25676,33.9,5.75,2.11,5.46,-197.86,-7.09,-53.69,-122.52,-0.132005,0.31399,-0.37893
Ar03,DCM,1.2,-1.18,8.93,0,108.14,-0.27769,0.02255,-0.248,-0.26,81.999,-0.51771,-0.24167,29.5,6.01,2.11,5.88,-203.07,-6.97,-52.93,-122.52,-0.12757,0.30024,-0.37969
Ar04,DCM,1.27,0.13,8.93,0,122.17,-0.2747,0.02273,-0.319,-0.45,95.4633,-0.49408,-0.23112,33.7,6.0,2.11,5.87,-208.04,-7.33,-51.45,-122.52,-0.125985,0.29743,-0.3626
Ar05,DCM,1.09,2.48,8.93,0,138.17,-0.26395,0.0335,-0.292,-0.457,100.0997,-0.47374,-0.2206,32.1,5.95,2.09,5.93,-215.64,-7.51,-49.96,-122.52,-0.115225,0.29745,-0.34717
Ar06,AN,1.1,6.91,37.5,0,131.18,-0.25196,0.0209,-0.303,-0.647,109.4043,-0.453,-0.20112,33.8,4.75,2.15,5.68,-224.16,-11.07,-61.26,-134.02,-0.11553,0.27286,-0.32706
Ar07,AN,1.1,6.08,37.5,0,165.62,-0.26294,0.00826,-0.303,-0.604,123.886,-0.43522,-0.20679,33.8,4.75,2.15,6.95,-219.4,-11.76,-63.89,-134.02,-0.12734,0.2712,-0.321005
Ar08,AN,1.1,7.26,37.5,0,161.2,-0.24805,0.02135,-0.31,-0.598,128.2333,-0.41133,-0.19163,33.9,4.74,2.21,7.57,-227.46,-11.71,-59.84,-134.02,-0.11335,0.2694,-0.30148
Ar09,AN,1.1,4.38,37.5,0,196.05,-0.26879,0.0022,-0.299,-0.536,117.0187,-0.43551,-0.2226,30.4,4.76,2.06,7.25,-212.3,-11.84,-66.49,-134.02,-0.133295,0.27099,-0.329055
Ar10,AN,1.1,6.08,37.5,0,151.59,-0.26815,0.00357,-0.301,-0.493,108.6233,-0.44544,-0.2228,30.4,4.76,2.05,6.95,-212.58,-11.37,-65.97,-134.02,-0.13229,0.27172,-0.33412
Ar11,AN,1.1,2.83,37.5,0,142.16,-0.28165,-0.0133,-0.292,-0.487,113.0747,-0.47035,-0.23694,30.3,4.77,2.05,7.6,-204.61,-13.85,-73.63,-134.02,-0.147475,0.26835,-0.353645
Ar12,AN,1.1,6.0,37.5,0,131.18,-0.25574,0.01829,-0.302,-0.462,108.5283,-0.44592,-0.21301,30.3,4.76,2.05,6.91,-218.89,-10.81,-61.97,-134.02,-0.118725,0.27403,-0.329465
Ar13,AN,1.1,7.22,37.5,0,132.17,-0.23704,0.01919,-0.312,-0.388,105.634,-0.39641,-0.19944,30.4,4.75,2.05,6.82,-224.77,-13.73,-61.35,-134.02,-0.108925,0.25623,-0.297925
